Timestep,P0,P1,P2,P3
350,-2205.940059,-1718.841133,-1037.655039,-462.5249401
351,-2250.964145,-1676.915696,-581.0277382,-777.9732769
352,-2329.2743,-1662.759703,-465.5549592,-773.4909234
353,-2476.252445,-1664.740287,-461.5619259,-1938.117521
354,-2468.268546,-1662.740264,-519.0645074,-1934.367067
355,-2778.158152,-2712.942484,-512.5538522,-1935.378657
356,-2779.418635,-2658.881576,-511.5538406,-1981.458226
357,-2778.953301,-2649.708007,-823.2472933,-1939.389714
358,-2782.871531,-2649.45948,-822.9732008,-1933.389771
359,-2781.168183,-2651.578789,-774.4699981,-2300.661665
360,-2748.041996,-2649.55731,-738.5197544,-2351.692615
361,-240.7507867,-1988.089275,-733.2314447,-2344.195697
362,-239.2522738,-1986.377658,-1512.840673,-2391.274637
363,-468.0263524,-1985.482296,-1512.852308,-2343.741311
364,-464.8631935,-1987.498927,-1043.829566,-2506.419679
365,-866.2596425,-1723.752264,-1036.805848,-2504.919718
366,-855.7596111,-1979.494998,-1083.751222,-2731.243677
367,-859.7091497,-1959.33285,-584.5824812,-2424.31137
368,-696.953523,-2005.872029,-587.6084362,-2737.499249
369,-760.7725362,-1638.032393,-624.6268281,-2726.499248
370,-950.0127944,-1672.578077,-623.6372561,-2729.461199
371,-957.13173,-219.6659864,-625.1545965,-2731.473627
372,-1169.199095,-168.1663413,-624.6406694,-2737.437745
373,-1137.086893,-173.2526493,-591.585005,-2436.17588
374,-1128.769051,-2036.925047,-986.9144176,-2406.90745
375,-744.5460322,-2032.420725,-994.6954271,-2737.997943
376,-734.0460928,-2351.333693,-2374.731415,-2694.424351
377,-734.0519323,-2295.340708,-2377.121864,-2686.418816
378,-2380.574179,-2292.563079,-2373.537887,-2687.419282
379,-2404.909702,-2686.782859,-2375.491114,-2695.177983
380,-502.3381798,-2084.03257,-2375.523968,-2688.745896
381,-497.1889234,-2072.126542,-2374.30177,-2689.79191
382,-550.1773608,-2072.120927,-2377.771141,-830.5012215
383,-288.3856858,-2073.604438,-2370.360027,-2692.484303
384,-116.2228035,-2074.632114,-1997.394588,-2686.986949
385,-1965.965157,-1672.800949,-1984.615841,-590.3737079
386,-2021.530885,-1693.19014,-1987.583749,-587.3951499
387,-2014.530896,-1683.178392,-1956.69642,-593.9035521
388,-2065.643451,-1681.678427,-1947.672725,-599.0192883
389,-2054.643444,-113.8872204,-1641.123845,-585.3063153
390,-2027.018373,-351.3510983,-1639.157469,-554.2127881
391,-546.7183936,-319.4190551,-1636.139993,-510.6631
392,-787.0486615,-2727.545337,-1129.501174,-506.3998662
393,-782.0451084,-2719.852191,-1134.988329,-545.3879695
394,-782.893474,-2564.216734,-1178.46491,-790.0288965
395,-430.2462248,-2620.648478,-1175.973745,-786.6527343
396,-2385.761878,-2607.76876,-1177.495424,-831.2046998
397,-1994.158181,-452.1943325,-1175.546019,-755.0735857
398,-1982.159479,-492.1272069,-1217.578003,-294.6682843
399,-2349.528364,-883.0358437,-1225.469319,-246.7049229
400,-2341.028312,-550.7658535,-1179.924018,-220.1476803
401,-2341.903941,-555.3505737,-1976.35231,-220.6462481
402,-2340.40428,-534.9207672,-1663.048172,-215.1248923
403,-2313.019096,-436.6120026,-1621.126957,-73.23241243
404,-2303.040491,-438.1573853,-1671.048017,-75.58320939
405,-1999.829982,-2346.754879,-1303.236294,-83.49298317
406,-1993.514573,-2740.290203,-1276.307235,-362.4359231
407,-2390.869983,-2728.790203,-1226.74191,-709.0716003
408,-2694.027545,-2729.797942,-1225.766725,-744.1023385
409,-2654.596561,-2740.405301,-1272.668042,-754.6649381
410,-2334.936685,-2694.932859,-1554.979723,-444.5655792
411,-2644.096558,-2340.614665,-1583.994652,-829.741698
412,-2641.179305,-2332.114516,-1611.560564,-823.2416279
413,-2291.302162,-913.6854632,-1614.538353,-868.1972904
414,-2344.238558,-913.690169,-1574.015456,-530.6387781
415,-2330.238566,-520.3359621,-1258.396612,-873.5094861
416,-1951.585164,-469.8311309,-1305.411823,-867.535706
417,-1942.082121,-781.8107248,-1315.939886,-863.5384312
418,-1943.088848,-791.1707164,-1620.006987,-2107.10073
419,-1942.086203,-423.8103511,-1635.501712,-2103.625327
420,-1943.841038,-428.6566157,-1626.961321,-2107.164774
421,-1901.401125,-380.7239647,-1257.796951,-2102.156961
422,-1943.894591,-430.2308097,-877.6259876,-2103.754539
423,-1944.046863,-380.723971,-872.625617,-2464.577708
424,-2305.513666,-376.4453237,-2764.44292,-2772.574947
425,-1946.605274,-739.3859691,-2763.13803,-2769.569884
426,-1949.051393,-735.576286,-2762.129539,-2724.076382
427,-1945.023462,-403.4462079,-2761.952297,-2779.532922
428,-2428.952761,-325.55441,-2776.358992,-2771.646136
429,-2418.56709,-357.5092905,-2468.058164,-2661.516848
430,-2418.443495,-363.1040799,-2461.762034,-2678.43046
431,-2415.943572,-314.5790956,-2778.719797,-2673.456341
432,-2035.301738,-78.82067845,-2266.566176,-2319.284383
433,-2027.852177,-77.63248866,-2302.638879,-796.8385214
434,-2032.255115,-42.20472501,-1935.236762,-1122.262692
435,-2381.809114,-32.20045717,-1978.286496,-1081.305137
436,-2369.31244,-390.6119518,-1975.016686,-735.8115187
437,-2334.353082,-26.69277554,-2338.421203,-738.3132215
438,-2329.353084,-28.13884775,-2294.906078,-1131.600612
439,-2333.545121,-391.4611011,-2303.412912,-1124.729742
440,-2035.003655,-662.8741754,-2298.449969,-1170.689415
441,-1725.279801,-664.3664016,-2361.009246,-1165.679944
442,-1697.297168,-1058.006236,-2739.971872,-1164.67994
443,-1678.51821,-637.1791528,-2437.215735,-1126.699108
444,-468.0015599,-476.2754598,-2745.556248,-1135.795476
445,-2363.300281,-520.7102945,-2380.530468,-1130.940328
446,-2349.21184,-812.5171039,-2374.027141,-1125.940329
447,-2407.263716,-1171.914535,-2373.981513,-1168.414497
448,-2395.763722,-1129.463371,-2416.002871,-1174.682907
449,-2397.751039,-739.7568859,-2417.162553,-1220.182295
450,-2789.223921,-1135.590669,-1276.184024,-1207.689802
451,-2747.623247,-740.1508254,-1657.86891,-1203.689804
452,-2360.254249,-734.1513356,-1299.834145,-1203.064691
453,-1990.253684,-2499.620899,-966.4811918,-1227.166765
454,-2354.298673,-2506.392368,-1010.071316,-1182.094203
455,-2348.154448,-2508.481604,-966.526152,-853.7273993
456,-2349.607122,-2134.066653,-1015.061323,-1825.985041
457,-2305.067708,-1848.459957,-1004.03744,-1883.977476
458,-2296.06711,-2781.793528,-1316.262541,-1883.983792
459,-2699.395796,-2728.339486,-1282.690831,-1822.960679
460,-2686.395787,-2721.740047,-2166.724204,-1747.988017
461,-2692.499479,-2688.823061,-2168.564333,-1734.877647
462,-2687.499478,-2685.120942,-2103.509966,-1767.920305
463,-2687.499478,-2326.350915,-1923.319246,-1075.079859
464,-2743.02005,-2287.250727,-1924.319484,-1072.378801
465,-2739.827436,-2015.708446,-1976.441923,-722.7365484
