Timestep,l_0.0001,l_0.001,l_0.01,l_0.05
165,-410.3815854,-394.2305898,-552.6398866,-268.9047933
166,-399.8706538,-219.350949,-563.8218423,-268.9018434
167,-405.7128059,-240.077007,-572.7467206,-320.1906503
168,-414.2503059,-233.7097277,-721.6007725,-349.0001154
169,-413.1573204,-245.0385528,-771.2006232,-679.4343963
170,-299.6715036,-397.291519,-735.0226525,-665.662012
171,-311.1204173,-298.7265688,-714.2918877,-500.8536395
172,-862.5785331,-288.1809448,-713.1909433,-484.8901616
173,-850.641596,-270.1807787,-615.0663691,-478.8901736
174,-1191.517105,-1162.370307,-445.5359104,-480.8904566
175,-916.6101189,-1194.736979,-296.2800461,-476.4686074
176,-911.6566095,-1173.574925,-533.888062,-504.8910313
177,-916.0424092,-1183.000024,-528.4402921,-489.7570221
178,-912.5199474,-1188.858237,-545.8844455,-501.741535
179,-924.7736662,-1187.519937,-554.1789831,-524.5308645
180,-910.7920434,-1177.47454,-528.1786728,-514.782755
181,-929.4474764,-1173.871182,-528.2022388,-529.4426976
182,-1175.456779,-434.4660593,-528.2021051,-554.230199
183,-1189.929428,-424.7112362,-397.9508638,-512.8721363
184,-1187.498954,-419.7113458,-290.4999931,-540.9339911
185,-1170.468634,-419.711741,-310.9962949,-528.0084789
186,-1172.370886,-426.0687236,-295.9951066,-409.1838015
187,-1199.669075,-559.1158006,-788.0913479,-412.0239963
188,-1191.401362,-412.886268,-780.5500334,-378.0514676
189,-453.0512996,-401.798414,-1191.922132,-490.27895
190,-436.0511064,-401.2008936,-1190.410417,-487.1513549
191,-416.344404,-712.2435208,-1172.012945,-630.1402812
192,-1186.401351,-712.7315867,-1204.428708,-627.6408675
193,-434.3444155,-697.5441128,-1190.50523,-615.3093801
194,-446.7416643,-687.6366998,-1185.312806,-652.5330112
195,-444.1136705,-831.645071,-1033.057502,-620.532725
196,-578.6204256,-717.5104886,-1182.933959,-1031.050645
197,-457.5675213,-577.2570812,-1195.939093,-1036.767608
198,-328.005329,-562.2098726,-1192.57439,-1176.406778
199,-296.1111947,-592.1069036,-1176.569766,-1184.601606
200,-434.1708098,-580.1067976,-1173.62215,-1180.190453
201,-407.3305829,-580.1067973,-1205.192624,-384.9258914
202,-402.2742352,-604.6939554,-1191.144709,-387.6583462
203,-407.6011461,-597.3301869,-1185.11344,-384.6575843
204,-406.6836466,-721.4978748,-1193.391891,-253.5683776
205,-400.8411696,-579.4336775,-1189.651479,-157.1391548
206,-926.4886318,-575.1647888,-1218.745246,-155.1383838
207,-925.3400497,-437.1732089,-1201.74525,-269.8646214
208,-916.6083959,-438.8204661,-1204.184369,-248.8635714
209,-905.4731085,-429.8200944,-1001.120537,-253.7881619
210,-914.0985339,-428.9304467,-1000.060264,-161.5547755
211,-1186.510707,-422.2087753,-999.6069094,-182.3614375
212,-1191.857987,-420.9518692,-997.1256557,-268.6023336
213,-1187.111525,-244.7708046,-1000.34024,-268.7953651
214,-1188.523047,-271.2779866,-852.943577,-373.6619341
215,-1187.689453,-256.1855962,-704.8085911,-412.8177666
216,-1186.511112,-251.2632295,-717.2627722,-395.2762782
217,-1198.070653,-288.6699419,-704.9541278,-377.2755041
218,-1182.130407,-277.4451297,-587.952233,-235.9859477
219,-1182.731043,-260.4175272,-562.9525,-235.8814454
220,-1184.632889,-247.8156672,-562.9525059,-259.1717374
221,-1182.691369,-231.8153988,-575.2297025,-247.171563
222,-1191.931029,-117.8599224,-747.0710779,-249.1707761
223,-1191.129033,-270.7625897,-945.1669128,-247.1825463
224,-1185.681385,-252.4766952,-925.1702272,-1199.289123
225,-1188.488993,-387.5005974,-825.3610967,-1185.788401
226,-1192.050103,-390.3204275,-519.9802268,-1186.731154
227,-1188.795651,-384.3203765,-346.7535224,-1191.309768
228,-1193.462358,-765.9288292,-335.7547892,-896.6158729
229,-1185.357088,-611.574637,-362.5533366,-914.5234924
230,-1202.774653,-606.4847003,-338.4933291,-921.2921407
231,-1011.180286,-590.4084189,-352.9404547,-788.3294441
232,-1130.670899,-608.0235046,-330.0052372,-779.6432262
233,-1105.963046,-736.2349564,-310.202566,-624.5304753
234,-617.5594546,-882.6168562,-447.5867059,-624.7186289
235,-622.5097754,-872.6386356,-324.0264347,-619.7718851
236,-643.9662495,-858.6882784,-819.5232544,-483.2549453
237,-872.1345744,-869.6154932,-687.4566956,-477.5286343
238,-864.085934,-720.9159844,-561.9464668,-436.2348401
239,-860.0859193,-749.5459647,-549.9008524,-438.5532264
240,-860.0859193,-896.3053705,-739.1460573,-760.1149561
241,-872.36316,-744.54478,-417.4759062,-629.250472
242,-742.1189498,-445.2429023,-255.0129091,-622.2126161
243,-728.2857773,-547.8592877,-113.1277947,-638.8930951
244,-878.1667456,-535.284719,-107.1266745,-619.8641133
245,-975.4433889,-423.6198474,-107.1525538,-602.0417007
246,-856.4857011,-839.6321897,-250.1153398,-633.7950125
247,-993.6195129,-815.6984341,-237.218723,-631.927948
248,-1018.120408,-809.6984324,-237.2143625,-493.9438945
249,-1003.011643,-797.7810847,-244.3203774,-483.8203467
250,-214.1174247,-800.3122609,-234.7455067,-646.9696383
251,-199.4835443,-798.3121773,-257.5073717,-646.8849667
252,-186.6927362,-822.042541,-389.8621195,-644.8836022
253,-177.6922984,-453.2415667,-238.3037365,-640.3520602
254,-177.692295,-482.5416584,-128.0775984,-473.764227
255,-177.7124958,-629.6063195,-141.6298249,-461.607153
