Train,Test
-776.4309164,-22.45457067
-770.9309164,-22.45457067
-770.9309164,-22.45457067
-772.4434177,-22.45457067
-1084.713149,-22.45457067
-1080.213149,-22.45457067
-1138.205972,-22.45457067
-1132.191339,-22.45457067
-751.3088773,-22.45457067
-2424.047976,-22.45457067
-2421.958818,-22.45457067
-2415.793324,-22.45457067
-791.414316,-22.45457067
-816.3775847,-22.45457067
-813.1169496,-22.45457067
-803.1169496,-22.45457067
-795.5904892,-22.45457067
-773.6599334,-22.45457067
-784.4725338,-22.45457067
-729.4964228,-22.45457067
-432.4014593,-22.45457067
-472.3354198,-22.45457067
-861.6400814,-22.45457067
-2453.694757,-22.45457067
-2449.194757,-22.45457067
-2433.156506,-22.45457067
-2441.175332,-22.45457067
-2442.202564,-22.45457067
-2777.994106,-22.45457067
-2769.008106,-22.45457067
-2765.619212,-22.45457067
-2762.58611,-22.45457067
-590.4765167,-22.45457067
-749.4408835,-22.45457067
-746.3401034,-22.45457067
-751.574311,-22.45457067
-787.626858,-22.45457067
-833.2210234,-22.45457067
-1222.030599,-22.45457067
-1165.521558,-22.45457067
-1175.043914,-22.45457067
-248.9658866,-22.45457067
-2356.157123,-22.45457067
-2306.178771,-22.45457067
-1225.468031,-22.45457067
-1186.363539,-22.45457067
-1179.665498,-22.45457067
-1180.194768,-22.45457067
-1631.811493,-22.45457067
-1994.864363,-22.45457067
-1985.39794,-22.45457067
-1950.455341,-22.45457067
-2258.384484,-22.45457067
-2253.883981,-22.45457067
-2649.192971,-22.45457067
-2684.648263,-22.45457067
-1871.169473,-22.45457067
-1860.236572,-22.45457067
-1865.237592,-22.45457067
-1478.813871,-22.45457067
-1526.194972,-22.45457067
-1512.088206,-22.45457067
-1513.565499,-22.45457067
-1513.400347,-22.45457067
-1513.342589,-22.45457067
-1208.843261,-22.45457067
-1173.950245,-22.45457067
-2292.507658,-22.45457067
-2015.400096,-22.45457067
-2057.356507,-22.45457067
-2051.856507,-22.45457067
-2112.296389,-22.45457067
-2308.677344,-22.45457067
-2297.694804,-22.45457067
-582.6771728,-22.45457067
-597.1138309,-22.45457067
-600.1636925,-22.45457067
-552.880788,-22.45457067
-566.1200304,-22.45457067
-538.1698605,-22.45457067
-547.6279027,-22.45457067
-465.1613294,-22.45457067
-463.2955692,-22.45457067
-418.835235,-22.45457067
-413.4791801,-22.45457067
-33.37483832,-22.45457067
-24.88034116,-22.45457067
-420.7922922,-22.45457067
-458.2429313,-22.45457067
-452.6777072,-22.45457067
-769.1322581,-22.45457067
-761.6322581,-22.45457067
-807.5818909,-22.45457067
-765.6218359,-22.45457067
-385.3622269,-22.45457067
-385.3861989,-22.45457067
-386.8852515,-22.45457067
-389.3867625,-22.45457067
-425.8586707,-22.45457067
-426.8824582,-22.45457067
-474.8718446,-22.45457067
