Timestep,Ramp0,Ramp1
622,-2330.714678,-221.4140986
623,-1971.865335,-282.735079
624,-18.78561004,-330.7350702
625,-1329.492161,-411.5953558
626,-1324.492162,-410.5953538
627,-1324.492162,-410.5953538
628,-1278.992321,-360.5953606
629,-1276.097389,-725.2939826
630,-1328.59729,-1111.326776
631,-1613.14015,-1109.211815
632,-2032.403848,-1165.71203
633,-2062.903531,-891.608564
634,-2065.403249,-840.1079809
635,-2063.059857,-831.107981
636,-2456.779925,-449.2042834
637,-2461.773518,-442.2042724
638,-2455.687352,-443.3952766
639,-2453.687184,-731.556188
640,-2455.707212,-2061.499162
641,-2419.711551,-2053.744738
642,-735.1961703,-2052.74474
643,-734.69778,-2429.542668
644,-1117.472783,-2415.433084
645,-1138.468865,-771.3701734
646,-845.2450524,-762.3701685
647,-776.6324024,-762.3701685
648,-731.1317055,-405.552141
649,-732.8929744,-2424.093334
650,-781.8933025,-2414.593429
651,-772.3932897,-2414.70821
652,-1171.24757,-2269.50811
653,-1163.747568,-2578.185799
654,-1163.747568,-771.0587095
655,-1163.747568,-762.0591652
656,-1163.747478,-761.0591653
657,-1163.747478,-1156.094044
658,-1163.747478,-1150.094045
659,-1165.246616,-1153.592173
660,-807.6803426,-2713.454824
661,-2683.130254,-2710.705411
662,-2676.630254,-2708.646929
663,-2683.633834,-2771.14551
664,-2725.63711,-2463.771485
665,-2723.633486,-1167.343433
666,-2682.13103,-1178.352279
667,-2319.617816,-1973.700863
668,-2686.054905,-1965.200867
669,-2680.049276,-1966.484663
670,-2680.050051,-2363.805061
671,-2720.050462,-2356.305061
672,-2722.296818,-2358.139045
673,-2718.606392,-2365.144687
674,-2718.641855,-2055.550007
675,-2294.517166,-2365.590639
676,-2346.015497,-621.8960317
677,-2335.015499,-614.1252827
678,-2340.014251,-665.1189903
679,-2337.514778,-617.1174145
680,-2335.014778,-514.1693383
681,-2339.384028,-517.674812
682,-2335.023118,-504.1748082
683,-2030.775085,-519.1736355
684,-2022.275085,-467.172369
685,-2029.617227,-465.1721392
686,-1986.616327,-511.669176
687,-2303.762256,-505.6697606
688,-1942.940456,-1977.002312
689,-1933.440454,-1974.003065
690,-2306.006038,-1972.503065
691,-728.4204991,-2738.349475
692,-372.55724,-2726.849475
693,-730.2028782,-2427.596686
694,-1115.857045,-2381.595903
695,-1081.860274,-2376.095991
696,-1076.481256,-1275.251337
697,-1116.979655,-1319.752142
698,-1164.475379,-1284.251054
699,-1153.475386,-1279.250719
700,-845.8640678,-1277.750597
701,-845.9663536,-1274.149667
702,-844.4705168,-1254.022623
703,-844.1139485,-816.3587623
704,-458.7575668,-815.6426681
705,-453.2575666,-455.9094526
706,-456.7578801,-452.4094527
707,-453.257875,-415.910167
708,-457.760087,-820.9549898
709,-453.2600874,-905.4367413
710,-453.2600874,-901.9367411
711,-453.2600874,-858.4374401
712,-453.2598329,-1277.147967
713,-768.3729161,-1270.64997
714,-764.1027757,-1286.272126
715,-2329.936485,-1289.270397
716,-2328.475705,-1331.275379
717,-2636.33289,-1298.371068
718,-2687.375204,-818.5211805
719,-2688.87479,-861.0085338
720,-2378.805899,-1339.419508
721,-2375.305898,-1334.419508
