Steps,g_0.98,g_0.99,g_0.995,g_0.999
318,-1197.587618,-1172.684034,-95.69322058,-222.5205635
319,-1059.615156,-1194.222823,-1143.427344,-249.0704434
320,-1060.612792,-1177.333139,-1145.01323,-385.5522449
321,-666.7290841,-1184.848168,-1124.198799,-235.4760515
322,-650.9672058,-1174.848172,-1128.33331,-348.7815737
323,-1161.665514,-732.2064105,-691.8160097,-527.8629069
324,-1145.558232,-712.2472494,-560.0555146,-1051.057607
325,-1163.398221,-865.2233494,-717.3591889,-1035.203479
326,-1160.865742,-838.1088431,-706.4153984,-1049.800957
327,-1144.811231,-828.2367151,-707.1820962,-1035.171893
328,-1019.597407,-825.0711105,-726.4748127,-941.5087903
329,-1026.299549,-961.4634327,-524.9452484,-927.2347807
330,-1021.368799,-824.0714562,-538.791327,-933.6226645
331,-1051.901145,-886.7195886,-709.3221843,-907.720777
332,-1031.9012,-886.7188699,-707.1840859,-911.5254672
333,-1031.9012,-886.7188676,-568.2808517,-1059.164689
334,-1031.9012,-906.1534676,-601.4548442,-1067.932674
335,-939.3226882,-907.4425796,-581.2847229,-1061.848883
336,-937.322144,-1079.182934,-286.7808324,-1059.925613
337,-1014.783366,-1066.789819,-760.4242317,-1056.925495
338,-875.5326472,-1049.790513,-751.1304747,-1078.811092
339,-869.5328873,-1183.530637,-751.0525304,-1189.418185
340,-877.9293271,-1171.530689,-609.9350659,-1190.481042
341,-881.6527784,-1184.806422,-709.4762481,-1190.418167
342,-872.6035087,-1191.29998,-719.756791,-1191.617112
343,-873.5326616,-1179.412847,-707.066395,-640.2528397
344,-1037.395661,-915.8271837,-694.0653744,-632.2515078
345,-1023.298876,-893.0641779,-582.5219334,-641.7368342
346,-1173.440699,-885.0641538,-622.9017724,-636.203761
347,-1160.440677,-885.0779802,-709.4443812,-488.0826804
348,-1160.440677,-1046.292937,-753.464405,-638.1041089
349,-1165.896982,-1034.292057,-746.7227556,-622.1891788
350,-1189.613471,-1036.448686,-741.0234848,-769.5865743
351,-1164.595112,-1035.610808,-731.9405341,-746.4226419
352,-173.0838151,-1038.37372,-592.1118045,-1156.228571
353,-156.0826825,-1038.61072,-457.5382814,-1148.228716
354,-162.4547468,-1044.813204,-653.4389187,-1148.250252
355,-310.3843437,-876.4415316,-699.9629056,-1147.411077
356,-483.339843,-915.216853,-1181.12778,-1165.241022
357,-469.3399096,-885.2168697,-414.7042809,-543.7201265
358,-622.0909896,-885.2168697,-434.6640898,-574.7259507
359,-643.4815228,-891.1339834,-453.3112085,-545.0523579
360,-121.5115057,-885.1645781,-434.1730036,-569.2632993
361,-119.9866277,-924.4371719,-427.4182505,-575.6489288
362,-112.0927079,-1054.946951,-405.4600951,-547.164143
363,-93.06831658,-1055.767519,-416.8491331,-572.9500906
364,-95.06776797,-154.4093957,-246.2862904,-556.3862778
365,-96.9557897,-166.2587704,-366.3989908,-1043.300481
366,-118.0371636,-236.8782952,-380.5528393,-419.1043603
367,-256.5066288,-234.8661028,-409.4934011,-427.2909468
368,-260.8237929,-276.365033,-459.8237818,-284.1836635
369,-1057.421593,-415.9863494,-463.5391559,-269.1819921
370,-1090.092423,-401.2258835,-449.3705626,-295.4765829
371,-1211.166137,-279.1452912,-440.579265,-268.4765498
372,-1063.046798,-279.833894,-305.1029283,-270.9226683
373,-1036.108602,-272.1582031,-414.6175589,-238.9674011
374,-1009.372334,-257.2982762,-1193.395172,-271.0662078
375,-858.2657302,-237.2988755,-1176.378062,-143.0900545
376,-880.8453086,-243.1572882,-422.3640611,-156.7342785
377,-1023.784441,-239.0924888,-256.2972691,-291.4388468
378,-1004.78552,-292.6151719,-282.7096705,-151.8013704
379,-1001.402308,-241.3580141,-290.8329507,-141.8016956
380,-997.3396374,-256.4858687,-439.6337196,-168.2330509
381,-999.9833998,-271.4232389,-294.5805981,-1177.473994
382,-991.4245987,-389.9066801,-607.1351837,-1165.993101
383,-984.4239057,-380.905611,-605.2162548,-1149.152566
384,-982.423906,-409.5775362,-621.3912036,-1147.516243
385,-982.423906,-1072.876285,-629.1155269,-812.5247379
386,-992.0342417,-1064.827687,-607.9179004,-663.0592434
387,-985.4238922,-1067.920515,-600.2628432,-693.4859023
388,-1165.178552,-1066.135184,-604.5520691,-676.4856846
389,-1180.363394,-1050.133505,-720.7212273,-687.1556877
390,-1180.198856,-1054.205964,-740.1083728,-1184.024791
391,-1167.198925,-1064.550127,-723.1083414,-1164.830595
