TImeStep,g_0.98,g_0.99,g_0.995,g_0.999
274,-462.0818045,-494.7993014,-1041.89826,-467.0524701
275,-386.6236311,-513.5544862,-1038.898154,-465.3864795
276,-346.1172654,-484.5544356,-1039.138501,-445.3853961
277,-277.2585465,-329.3852228,-1086.749542,-570.497299
278,-285.1646597,-468.2092049,-1070.372718,-570.2563994
279,-539.0166294,-453.6475452,-454.4934846,-564.2864202
280,-531.014806,-448.6459829,-432.4888947,-559.0240503
281,-527.0145754,-455.0574025,-443.4839022,-957.9818544
282,-525.6083815,-456.7927846,-574.2332932,-948.6972634
283,-510.6087573,-443.5668852,-714.846849,-931.327748
284,-517.451071,-465.5641987,-713.8510772,-1016.998616
285,-672.202901,-440.2554981,-572.3019948,-1018.00847
286,-672.2199434,-467.650758,-572.299823,-1006.866544
287,-693.6484919,-451.6660726,-438.1778816,-1030.249904
288,-704.6099317,-467.6898265,-795.307679,-1017.680359
289,-697.1814387,-479.8841092,-629.3052576,-1018.723931
290,-552.4770531,-462.0369283,-621.0896132,-1025.463246
291,-682.9084318,-646.8247538,-612.0907377,-1024.860337
292,-676.9756855,-1044.638879,-617.0927098,-1016.830324
293,-711.5364404,-1052.557016,-619.2577533,-1016.831123
294,-559.2082187,-1067.603358,-772.1777306,-1173.633342
295,-575.9993033,-877.3955092,-237.6556483,-1167.482928
296,-564.939131,-877.3002152,-237.6555779,-261.2535866
297,-723.9600167,-880.5065605,-236.4760048,-404.4043924
298,-582.7475572,-760.5353399,-232.7469278,-763.3393578
299,-565.5789056,-750.0924397,-237.1820626,-754.3419324
300,-502.7031418,-736.1357296,-225.8679472,-756.8092366
301,-645.7241613,-740.273879,-214.8684853,-749.9336691
302,-620.7241991,-775.6462031,-378.7500726,-730.1276526
303,-625.1199917,-749.6456053,-366.7505438,-738.0268252
304,-478.4063104,-749.5931791,-370.7518956,-734.1709964
305,-465.9335309,-755.7412021,-366.995512,-884.0742455
306,-287.3841912,-779.2370323,-366.9950642,-699.958857
307,-281.2223593,-787.8864013,-579.1406369,-697.958787
308,-321.5520528,-761.8866453,-570.4925244,-743.6512147
309,-315.4568541,-898.7554372,-588.3597542,-590.4303118
310,-546.6932297,-875.7105969,-584.3596367,-615.7613552
311,-491.6730365,-907.2826088,-452.5737225,-602.7889092
312,-548.4384517,-911.6066061,-432.6587361,-743.2845529
313,-538.2352082,-882.6928912,-414.6573687,-736.7049515
314,-529.2357457,-881.4775324,-416.6578483,-740.621985
315,-550.6486504,-1041.808951,-431.0329369,-1094.531533
316,-522.80649,-1029.738272,-429.2403002,-999.8488162
317,-390.7611888,-1018.518084,-470.9642641,-974.8481992
318,-503.2444199,-822.1480368,-556.3731159,-1116.524849
319,-382.5938586,-534.6016408,-525.1885456,-1115.799025
320,-378.6791154,-547.039397,-1012.568523,-1020.1233
321,-399.9594712,-521.3165987,-1018.182944,-1005.845889
322,-413.8024599,-1187.872418,-1047.233008,-735.8026713
323,-439.9490095,-1170.676014,-525.0880252,-716.802729
324,-456.6246687,-395.9993715,-492.2426379,-1187.587063
325,-424.6254127,-377.8625584,-473.2724248,-1183.260885
326,-410.6809881,-354.8843557,-505.8750193,-1175.314318
327,-418.8259539,-516.0909808,-763.2675063,-1073.425661
328,-258.5630961,-657.468499,-770.5075355,-1054.744186
329,-274.9407308,-803.9368402,-800.7236309,-1078.542491
330,-249.7640314,-826.0185746,-1143.682715,-1059.565409
331,-249.7576461,-807.5457873,-1130.417104,-1070.306315
332,-243.908467,-668.6026712,-969.0439871,-1059.306587
333,-224.1484495,-821.0570738,-915.7158472,-1193.441924
334,-684.2452199,-797.9702126,-960.2196556,-1188.361305
335,-686.0640316,-789.0414469,-932.2191804,-1193.004002
336,-680.4153777,-647.6191088,-1011.819997,-1175.094798
337,-676.341149,-661.9919181,-1019.303213,-1180.899669
338,-697.3561577,-522.2754277,-123.9798483,-1177.296348
339,-711.0597527,-516.2189931,-117.7121603,-1171.296357
340,-678.0468284,-661.3991662,-279.0211626,-1174.687907
341,-837.5080162,-649.397521,-294.5485685,-1163.826424
342,-393.9468935,-676.3842616,-287.5503519,-967.7372827
343,-395.9497717,-669.3838701,-289.4899913,-1124.329366
344,-390.9494784,-669.3838655,-274.3282859,-1105.929445
345,-384.144112,-655.397578,-207.1717439,-1045.590032
346,-531.6455295,-681.4274196,-197.1858555,-1019.444155
347,-533.0724582,-675.2498758,-182.0983786,-1025.312937
348,-562.7042866,-696.0711855,-344.1487934,-1037.720679
349,-539.2272612,-707.4917316,-299.4151303,-1011.898167
350,-379.2871302,-694.7615632,-321.5616214,-1034.555375
351,-1040.871151,-564.2733412,-337.4063059,-455.2083133
352,-1053.893605,-527.0997836,-328.8850832,-327.3192421
353,-1046.485208,-525.1739749,-308.8858608,-306.3177066
354,-1045.847785,-509.1423455,-427.3685576,-309.6496765
355,-1028.829036,-535.3086812,-451.7543769,-308.2706755
356,-1028.847767,-504.3086004,-457.1616566,-319.74372
357,-1051.700307,-504.3085997,-457.1615905,-1159.696198
358,-1185.676045,-512.3120292,-457.1615905,-1161.213859
359,-1177.519385,-389.9096778,-457.1842888,-1148.502867
360,-758.3117865,-397.4473583,-473.2517868,-261.9154234
361,-764.8645172,-375.0467975,-454.2519423,-280.2805794
362,-756.8642836,-386.3720655,-480.3466837,-251.2812923
363,-752.6287681,-405.4373144,-484.4433473,-260.0686126
364,-789.2673038,-391.4374773,-498.7497539,-251.0696289
365,-778.1199602,-391.4374857,-478.7493859,-384.9871268
366,-903.6284982,-400.1621925,-483.5977757,-394.1627645
367,-889.037439,-393.2209287,-502.4124665,-259.9775469
368,-902.0320309,-427.741027,-481.3348582,-250.9765811
369,-779.1801999,-410.2434102,-478.3352169,-252.9757372
370,-655.5312351,-393.2801586,-354.71271,-252.8393606
371,-846.6942801,-388.1771291,-189.1434096,-255.2783585
372,-580.0312036,-375.2079802,-180.1452879,-239.0417807
373,-722.4048256,-542.2715563,-184.4402716,-1193.666174
374,-703.7592291,-713.8521366,-188.8250467,-1180.592504
375,-687.7590377,-685.8526024,-334.0937757,-1182.097924
376,-713.5414987,-685.9018102,-1056.701292,-1183.912873
377,-703.5414362,-686.6147331,-1055.052195,-1180.014128
378,-705.4918622,-709.0815712,-1031.201609,-1185.050622
379,-685.2681424,-686.0813237,-1048.999475,-1195.428143
380,-721.1140347,-710.5798885,-1040.490461,-1173.63775
381,-579.9640814,-687.5794445,-1046.486803,-1170.529393
382,-557.9428516,-685.5812578,-1040.754195,-1169.074093
383,-557.9427206,-688.6463014,-1069.728541,-1187.865259
384,-552.1508093,-688.580216,-1057.72852,-1183.130685
385,-553.2967894,-678.3586495,-1059.775529,-1178.082122
386,-549.1518894,-674.4886187,-683.1562525,-1176.082137
387,-542.1510046,-599.2662451,-682.0938369,-1181.204808
388,-548.8564515,-629.4849424,-426.6045105,-1187.607424
389,-541.8361836,-612.2674684,-455.5037301,-1193.958955
390,-541.8730614,-591.2103876,-432.6052315,-1195.327727
391,-574.5151674,-592.2091747,-426.6488776,-1177.583746
392,-557.4361118,-1148.135941,-452.9589381,-1178.078475
393,-589.6636602,-1132.094144,-465.3406147,-1055.756929
